path,bytes,MB,classification,git_recommendation
.gitignore,195,0.000,OK,OK_TO_STAGE
audit/DEPENDENCY_TRACE.csv,1560,0.002,OK,OK_TO_STAGE
audit/EXCLUDED_FILES.csv,1277,0.001,OK,OK_TO_STAGE
audit/FILE_SIZE_AUDIT.csv,6804,0.007,OK,OK_TO_STAGE
audit/INCLUDED_FILES.csv,30701,0.031,OK,OK_TO_STAGE
audit/LICENSE_AUDIT.csv,1233,0.001,OK,OK_TO_STAGE
audit/PATH_PORTABILITY_AUDIT.md,252,0.000,OK,OK_TO_STAGE
audit/PORTABILITY_PATCHES.csv,849,0.001,OK,OK_TO_STAGE
audit/RELEASE_AUDIT.md,463,0.000,OK,OK_TO_STAGE
audit/REPRODUCTION_SMOKE_TEST.md,611,0.001,OK,OK_TO_STAGE
audit/SECRETS_SCAN.md,118,0.000,OK,OK_TO_STAGE
audit/THIRD_PARTY_CODE_AUDIT.md,434,0.000,OK,OK_TO_STAGE
CITATION.cff,618,0.001,OK,OK_TO_STAGE
CODE_PROVENANCE.md,299,0.000,OK,OK_TO_STAGE
configs/canonical/TP2M4A_CANONICAL_PROTOCOL_MANIFEST_RECONCILED.json,17652,0.018,OK,OK_TO_STAGE
configs/intervention/TP2M4B2_R1_MATCHED_COHORT_FREEZE.json,2399,0.002,OK,OK_TO_STAGE
configs/multiarchitecture/TP2M5A_MULTIARCH_PROTOCOL_FREEZE.json,7286,0.007,OK,OK_TO_STAGE
configs/multiarchitecture/TP2M5A_RECEIVER_PARAMETER_AUDIT.csv,474,0.000,OK,OK_TO_STAGE
configs/multiarchitecture/TP2M5A_STATIC_INTERFACE_QA.csv,663,0.001,OK,OK_TO_STAGE
data/dengue/Dengue7_daily_notifications.csv,190116,0.190,OK,OK_TO_STAGE
data/electricity/Electricity37_daily_load.csv,784608,0.785,OK,OK_TO_STAGE
data/README.md,103,0.000,OK,OK_TO_STAGE
data/who/WHO31_external_daily_new_cases.csv,830809,0.831,OK,OK_TO_STAGE
DATA_LICENSES.md,1351,0.001,OK,OK_TO_STAGE
DATA_PROVENANCE.md,401,0.000,OK,OK_TO_STAGE
environment-lock.txt,15697,0.016,OK,OK_TO_STAGE
full_reproduction/README.md,658,0.001,OK,OK_TO_STAGE
full_reproduction/run_functional_audit.py,178,0.000,OK,OK_TO_STAGE
full_reproduction/run_receiver_transfer.py,197,0.000,OK,OK_TO_STAGE
full_reproduction/run_structural_audit.py,178,0.000,OK,OK_TO_STAGE
full_reproduction/train_gru_external.py,210,0.000,OK,OK_TO_STAGE
full_reproduction/train_reference_lstm.py,234,0.000,OK,OK_TO_STAGE
full_reproduction/train_transformer_external.py,218,0.000,OK,OK_TO_STAGE
LICENSE,1301,0.001,OK,OK_TO_STAGE
manifests/checkpoints/README.md,228,0.000,OK,OK_TO_STAGE
manifests/checkpoints/TP2M4D_RECEIVER_BANK_HASHES.txt,3323,0.003,OK,OK_TO_STAGE
manifests/checkpoints/TP2M4D_RECEIVER_BANK_MANIFEST.csv,9192,0.009,OK,OK_TO_STAGE
manifests/checkpoints/TP2M5B_GRU_RECEIVER_BANK_HASHES.txt,37109,0.037,OK,OK_TO_STAGE
manifests/checkpoints/TP2M5B_GRU_RECEIVER_BANK_MANIFEST.csv,115754,0.116,OK,OK_TO_STAGE
manifests/checkpoints/TP2M5C_TRANSFORMER_RECEIVER_BANK_HASHES.txt,38909,0.039,OK,OK_TO_STAGE
manifests/checkpoints/TP2M5C_TRANSFORMER_RECEIVER_BANK_MANIFEST.csv,119316,0.119,OK,OK_TO_STAGE
