repo_path,source_path,source_SHA256,staged_SHA256,category,scientific_role,license_class,modified_for_portability,included_reason
.gitignore,authored/generated for TP-2M.5E.2,NA,3ecb673f6284a919cfd1cecdb52454e73979cf4dd89070e949d9b05a8ac9b5f4,documentation/environment,repository freeze documentation,PROJECT_ORIGINAL,NO,required repository metadata
CITATION.cff,authored/generated for TP-2M.5E.2,NA,0a7306d4b74256bf00842e0a659b63fd3d4be3b56b5252db56375e08b77a7899,documentation/environment,repository freeze documentation,PROJECT_ORIGINAL,NO,required repository metadata
CODE_PROVENANCE.md,authored/generated for TP-2M.5E.2,NA,1c5d5d9e73687fc257f50cd4e21a0be2217fc0b4c4029bb6a2b344d271ca951d,documentation/environment,repository freeze documentation,PROJECT_ORIGINAL,NO,required repository metadata
DATA_LICENSES.md,authored/generated for TP-2M.5E.2,NA,dae9a1d4ceea2bb62f7fb960fcb6a3ce09e74f323904f963b0e661612a1a75f1,documentation/environment,repository freeze documentation,PROJECT_ORIGINAL,NO,required repository metadata
DATA_PROVENANCE.md,authored/generated for TP-2M.5E.2,NA,e26ed3d091bf27af0334cd06d24f301cf2267aa195da1ba9b2f991a98bff5e23,documentation/environment,repository freeze documentation,PROJECT_ORIGINAL,NO,required repository metadata
LICENSE,authored/generated for TP-2M.5E.2,NA,0e50f559ef7e1eb07066908772b09ffadd868cd4a4b7c988bb0dece3172501a0,documentation/environment,repository freeze documentation,PROJECT_ORIGINAL,NO,required repository metadata
MODEL_ARCHITECTURES.md,authored/generated for TP-2M.5E.2,NA,0a592a1f61f6af8298701274ee29747b4d3c05063004a81759d26df466cccd33,documentation/environment,repository freeze documentation,PROJECT_ORIGINAL,NO,required repository metadata
README.md,authored/generated for TP-2M.5E.2,NA,86c0b8936ce6b901b57a48767ed15a7d12096dbfccd18c06e21522f992902120,documentation/environment,repository freeze documentation,PROJECT_ORIGINAL,NO,required repository metadata
REPRODUCIBILITY.md,authored/generated for TP-2M.5E.2,NA,4fd647d240701c906346a17b347fe3a6f103034a8d7dbfcfb4ad5b6244b22081,documentation/environment,repository freeze documentation,PROJECT_ORIGINAL,NO,required repository metadata
RESULTS_PROVENANCE.md,authored/generated for TP-2M.5E.2,NA,9cdc54b6aa307ec9577f5cb59e24f1a9ff6b89db41f066bce4433b367d5b2d4b,documentation/environment,repository freeze documentation,PROJECT_ORIGINAL,NO,required repository metadata
SHA256SUMS.txt,generated during TP-2M.5E.2 validation,NA,0ef5b202c96d847e088a8d4e138a4ac7244013199ec0ab4426e908fed94ffb20,generated_validation,release validation output,PROJECT_ORIGINAL,NO,required release audit output
audit/DEPENDENCY_TRACE.csv,generated audit for TP-2M.5E.2,NA,1654f7b6af5ccad0feda902ec53b9c1a3662de531f1134ea2284b5f0be072980,audit,release gate evidence,PROJECT_ORIGINAL,NO,required audit output
