Date_reported,New_cases,Country
2012-01-01,590,T7
2012-01-02,439,T7
2012-01-03,408,T7
2012-01-04,411,T7
2012-01-05,376,T7
2012-01-06,430,T7
2012-01-07,442,T7
2012-01-08,446,T7
2012-01-09,425,T7
2012-01-10,415,T7
2012-01-11,421,T7
2012-01-12,397,T7
2012-01-13,441,T7
2012-01-14,469,T7
2012-01-15,452,T7
2012-01-16,460,T7
2012-01-17,429,T7
2012-01-18,446,T7
2012-01-19,451,T7
2012-01-20,420,T7
2012-01-21,526,T7
2012-01-22,453,T7
2012-01-23,427,T7
2012-01-24,394,T7
2012-01-25,393,T7
2012-01-26,384,T7
2012-01-27,404,T7
2012-01-28,506,T7
2012-01-29,444,T7
2012-01-30,432,T7
2012-01-31,394,T7
2012-02-01,419,T7
2012-02-02,426,T7
2012-02-03,487,T7
2012-02-04,430,T7
2012-02-05,378,T7
2012-02-06,415,T7
2012-02-07,396,T7
2012-02-08,402,T7
2012-02-09,414,T7
2012-02-10,502,T7
2012-02-11,501,T7
2012-02-12,506,T7
2012-02-13,385,T7
2012-02-14,390,T7
2012-02-15,380,T7
2012-02-16,381,T7
2012-02-17,431,T7
2012-02-18,413,T7
2012-02-19,412,T7
2012-02-20,432,T7
2012-02-21,460,T7
2012-02-22,389,T7
2012-02-23,392,T7
2012-02-24,346,T7
2012-02-25,380,T7
2012-02-26,362,T7
2012-02-27,342,T7
2012-02-28,334,T7
2012-02-29,332,T7
2012-03-01,349,T7
2012-03-02,351,T7
2012-03-03,456,T7
2012-03-04,372,T7
2012-03-05,339,T7
2012-03-06,392,T7
2012-03-07,351,T7
2012-03-08,364,T7
2012-03-09,347,T7
2012-03-10,384,T7
2012-03-11,363,T7
2012-03-12,345,T7
2012-03-13,339,T7
2012-03-14,296,T7
2012-03-15,335,T7
2012-03-16,348,T7
2012-03-17,379,T7
2012-03-18,368,T7
2012-03-19,343,T7
2012-03-20,325,T7
2012-03-21,309,T7
2012-03-22,333,T7
2012-03-23,347,T7
2012-03-24,407,T7
2012-03-25,375,T7
2012-03-26,322,T7
2012-03-27,335,T7
2012-03-28,290,T7
2012-03-29,276,T7
2012-03-30,289,T7
2012-03-31,383,T7
2012-04-01,331,T7
2012-04-02,306,T7
2012-04-03,301,T7
2012-04-04,286,T7
2012-04-05,314,T7
2012-04-06,335,T7
2012-04-07,372,T7
2012-04-08,304,T7
2012-04-09,306,T7
2012-04-10,273,T7
2012-04-11,305,T7
2012-04-12,301,T7
2012-04-13,299,T7
2012-04-14,357,T7
2012-04-15,309,T7
2012-04-16,303,T7
2012-04-17,301,T7
2012-04-18,298,T7
2012-04-19,284,T7
2012-04-20,290,T7
2012-04-21,341,T7
2012-04-22,299,T7
2012-04-23,307,T7
2012-04-24,291,T7
2012-04-25,330,T7
2012-04-26,277,T7
2012-04-27,307,T7
2012-04-28,334,T7
2012-04-29,358,T7
2012-04-30,334,T7
2012-05-01,384,T7
2012-05-02,303,T7
2012-05-03,309,T7
2012-05-04,291,T7
2012-05-05,297,T7
2012-05-06,299,T7
2012-05-07,297,T7
2012-05-08,298,T7
2012-05-09,269,T7
2012-05-10,266,T7
2012-05-11,263,T7
2012-05-12,289,T7
2012-05-13,309,T7
2012-05-14,274,T7
2012-05-15,262,T7
2012-05-16,250,T7
2012-05-17,256,T7
2012-05-18,280,T7
2012-05-19,313,T7
2012-05-20,289,T7
2012-05-21,252,T7
2012-05-22,260,T7
2012-05-23,259,T7
2012-05-24,258,T7
2012-05-25,281,T7
2012-05-26,300,T7
2012-05-27,275,T7
2012-05-28,272,T7
2012-05-29,264,T7
2012-05-30,250,T7
2012-05-31,269,T7
2012-06-01,265,T7
2012-06-02,289,T7
2012-06-03,300,T7
2012-06-04,265,T7
2012-06-05,258,T7
2012-06-06,270,T7
2012-06-07,283,T7
2012-06-08,265,T7
2012-06-09,303,T7
2012-06-10,264,T7
2012-06-11,286,T7
2012-06-12,269,T7
2012-06-13,284,T7
2012-06-14,240,T7
2012-06-15,256,T7
2012-06-16,285,T7
2012-06-17,292,T7
2012-06-18,266,T7
2012-06-19,280,T7
2012-06-20,275,T7
2012-06-21,259,T7
2012-06-22,250,T7
2012-06-23,277,T7
2012-06-24,281,T7
2012-06-25,282,T7
2012-06-26,271,T7
2012-06-27,261,T7
2012-06-28,264,T7
2012-06-29,258,T7
2012-06-30,281,T7
2012-07-01,314,T7
2012-07-02,273,T7
2012-07-03,294,T7
2012-07-04,275,T7
2012-07-05,260,T7
2012-07-06,278,T7
2012-07-07,310,T7
2012-07-08,314,T7
2012-07-09,293,T7
2012-07-10,561,T7
2012-07-11,1200,T7
2012-07-12,1620,T7
2012-07-13,1271,T7
2012-07-14,924,T7
2012-07-15,1540,T7
2012-07-16,1547,T7
2012-07-17,1614,T7
2012-07-18,1297,T7
2012-07-19,1648,T7
2012-07-20,1749,T7
2012-07-21,1963,T7
2012-07-22,1958,T7
2012-07-23,1903,T7
2012-07-24,1960,T7
2012-07-25,2433,T7
2012-07-26,2081,T7
2012-07-27,2492,T7
2012-07-28,3205,T7
2012-07-29,2992,T7
2012-07-30,2573,T7
2012-07-31,2893,T7
2012-08-01,2345,T7
2012-08-02,2609,T7
2012-08-03,2868,T7
2012-08-04,2546,T7
2012-08-05,2862,T7
2012-08-06,2376,T7
2012-08-07,2225,T7
2012-08-08,1946,T7
2012-08-09,1916,T7
2012-08-10,2201,T7
2012-08-11,2222,T7
2012-08-12,2274,T7
2012-08-13,1638,T7
2012-08-14,826,T7
2012-08-15,271,T7
2012-08-16,270,T7
2012-08-17,280,T7
2012-08-18,305,T7
2012-08-19,326,T7
