Date_reported,New_cases,Country
2020-03-02,4,Australia
2020-03-03,0,Australia
2020-03-04,4,Australia
2020-03-05,10,Australia
2020-03-06,14,Australia
2020-03-07,6,Australia
2020-03-08,7,Australia
2020-03-09,7,Australia
2020-03-10,15,Australia
2020-03-11,8,Australia
2020-03-12,22,Australia
2020-03-13,18,Australia
2020-03-14,57,Australia
2020-03-15,52,Australia
2020-03-16,49,Australia
2020-03-17,38,Australia
2020-03-18,78,Australia
2020-03-19,151,Australia
2020-03-20,126,Australia
2020-03-21,182,Australia
2020-03-22,208,Australia
2020-03-23,315,Australia
2020-03-24,313,Australia
2020-03-25,543,Australia
2020-03-26,171,Australia
2020-03-27,562,Australia
2020-03-28,393,Australia
2020-03-29,431,Australia
2020-03-30,284,Australia
2020-03-31,266,Australia
2020-04-01,348,Australia
2020-04-02,269,Australia
2020-04-03,248,Australia
2020-04-04,230,Australia
2020-04-05,181,Australia
2020-04-06,109,Australia
2020-04-07,100,Australia
2020-04-08,112,Australia
2020-04-09,96,Australia
2020-04-10,100,Australia
2020-04-11,86,Australia
2020-04-12,51,Australia
2020-04-13,33,Australia
2020-04-14,44,Australia
2020-04-15,50,Australia
2020-04-16,42,Australia
2020-04-17,10,Australia
2020-04-18,65,Australia
2020-04-19,53,Australia
2020-04-20,26,Australia
2020-04-21,13,Australia
2020-04-22,22,Australia
2020-04-23,7,Australia
2020-04-24,13,Australia
2020-04-25,20,Australia
2020-04-26,16,Australia
2020-04-27,10,Australia
2020-04-28,12,Australia
2020-04-29,13,Australia
2020-04-30,8,Australia
2020-05-01,16,Australia
2020-05-02,5,Australia
2020-05-03,16,Australia
2020-05-04,18,Australia
2020-05-05,24,Australia
2020-05-06,24,Australia
2020-05-07,26,Australia
2020-05-08,21,Australia
2020-05-09,18,Australia
2020-05-10,15,Australia
2020-05-11,12,Australia
2020-05-12,7,Australia
2020-05-13,16,Australia
2020-05-14,11,Australia
2020-05-15,14,Australia
2020-05-16,30,Australia
2020-05-17,17,Australia
2020-05-18,9,Australia
2020-05-19,15,Australia
2020-05-20,8,Australia
2020-05-21,11,Australia
2020-05-22,2,Australia
2020-05-23,14,Australia
2020-05-24,11,Australia
2020-05-25,3,Australia
2020-05-26,9,Australia
2020-05-27,15,Australia
2020-05-28,6,Australia
2020-05-29,11,Australia
2020-05-30,23,Australia
2020-05-31,12,Australia
2020-06-01,10,Australia
2020-06-02,9,Australia
2020-06-03,17,Australia
2020-06-04,8,Australia
2020-06-05,11,Australia
2020-06-06,11,Australia
2020-06-07,4,Australia
2020-06-08,5,Australia
2020-06-09,5,Australia
2020-06-10,2,Australia
2020-06-11,0,Australia
2020-06-12,18,Australia
2020-06-13,5,Australia
2020-06-14,12,Australia
2020-06-15,18,Australia
2020-06-16,15,Australia
2020-06-17,12,Australia
2020-06-18,23,Australia
2020-06-19,21,Australia
2020-06-20,18,Australia
2020-06-21,27,Australia
2020-06-22,25,Australia
2020-06-23,13,Australia
2020-06-24,18,Australia
2020-06-25,29,Australia
2020-06-26,37,Australia
2020-06-27,37,Australia
2020-06-28,46,Australia
2020-06-29,45,Australia
2020-06-30,81,Australia
2020-07-01,67,Australia
2020-07-02,86,Australia
2020-07-03,81,Australia
2020-07-04,254,Australia
2020-07-05,107,Australia
2020-07-06,87,Australia
2020-07-07,137,Australia
2020-07-08,169,Australia
2020-07-09,131,Australia
2020-07-10,173,Australia
2020-07-11,300,Australia
2020-07-12,194,Australia
2020-07-13,244,Australia
2020-07-14,183,Australia
2020-07-15,271,Australia
2020-07-16,244,Australia
2020-07-17,315,Australia
2020-07-18,425,Australia
2020-07-19,206,Australia
2020-07-20,361,Australia
2020-07-21,267,Australia
2020-07-22,359,Australia
2020-07-23,468,Australia
2020-07-24,410,Australia
2020-07-25,289,Australia
2020-07-26,355,Australia
2020-07-27,453,Australia
2020-07-28,532,Australia
2020-07-29,369,Australia
2020-07-30,278,Australia
2020-07-31,721,Australia
2020-08-01,602,Australia
2020-08-02,377,Australia
2020-08-03,641,Australia
2020-08-04,395,Australia
2020-08-05,411,Australia
2020-08-06,715,Australia
2020-08-07,418,Australia
2020-08-08,410,Australia
2020-08-09,426,Australia
2020-08-10,386,Australia
2020-08-11,313,Australia
2020-08-12,316,Australia
2020-08-13,414,Australia
