series_id,seed,window,variant,status,best_epoch,best_validation_MSE,checkpoint_path,checkpoint_SHA256,configuration_SHA256,dataset_SHA256,pretraining_freeze_sha256,weights_frozen
Kaohsiung City,42,W05,TP1D_C1_DENGUE_RECEIVER,PASS,2,3.202446222305298,experiment://TP2M4D/outputs/receiver_bank/seed_42/kaohsiung_city/w05/checkpoint.weights.h5,5bfe5bdbf33001915f19b8b54dd055f9bdb48391ab1ff8f046a4c57a803a985f,c585dc373fcedac080e2e045b68cae01d431460e4e217b0d65dd8e40bdbf9d89,24f09a7ac8f32f9eb5213d809bf1b30c1e0621aaac183337b1c86dc80f5a4a1b,855d5f6d53eb3ba931b3a7f72d2a23fbcb37236c3030cf94423ff95b70c386ed,TRUE
New Taipei City,42,W05,TP1D_C1_DENGUE_RECEIVER,PASS,16,3.9947147369384766,experiment://TP2M4D/outputs/receiver_bank/seed_42/new_taipei_city/w05/checkpoint.weights.h5,e020e127b88dda6bd0b8d0f0602a763b0261fef428e2b17ed7f1a34dca13d859,7c5548630d74de4e15b6893014f58a8ebdfa2bed88cb22f7e26885a66141867e,24f09a7ac8f32f9eb5213d809bf1b30c1e0621aaac183337b1c86dc80f5a4a1b,855d5f6d53eb3ba931b3a7f72d2a23fbcb37236c3030cf94423ff95b70c386ed,TRUE
Pingtung County,42,W05,TP1D_C1_DENGUE_RECEIVER,PASS,2,1.525931715965271,experiment://TP2M4D/outputs/receiver_bank/seed_42/pingtung_county/w05/checkpoint.weights.h5,dcd8986d84658ecacde9e73eeeaaf47b15528175d0e0141b2c0301960e8373f5,11c2a8b08605b149950c0a8bcd70d48025af5d28e847884603a58c9ec97ae31c,24f09a7ac8f32f9eb5213d809bf1b30c1e0621aaac183337b1c86dc80f5a4a1b,855d5f6d53eb3ba931b3a7f72d2a23fbcb37236c3030cf94423ff95b70c386ed,TRUE
Taichung City,42,W05,TP1D_C1_DENGUE_RECEIVER,PASS,10,2.3806955814361572,experiment://TP2M4D/outputs/receiver_bank/seed_42/taichung_city/w05/checkpoint.weights.h5,f662a518927d53c4b3f44ff48ba6c7ec1ea4bc50ce7e3aea8bddcead26c0d28a,8a440cd3eb0658acb3eac59d332531ea65439e7b238d55667836ce2f64e01d70,24f09a7ac8f32f9eb5213d809bf1b30c1e0621aaac183337b1c86dc80f5a4a1b,855d5f6d53eb3ba931b3a7f72d2a23fbcb37236c3030cf94423ff95b70c386ed,TRUE
Tainan City,42,W05,TP1D_C1_DENGUE_RECEIVER,PASS,1,1.5688737630844116,experiment://TP2M4D/outputs/receiver_bank/seed_42/tainan_city/w05/checkpoint.weights.h5,1ec14f83e5223361bca6fcb1a9294e8d0916e2e7b1db0f86a20bf05f50eb05a6,d07b980201432a780bcf6544f1a61d2dee14c923e8051b1b4cf1159142ddcb77,24f09a7ac8f32f9eb5213d809bf1b30c1e0621aaac183337b1c86dc80f5a4a1b,855d5f6d53eb3ba931b3a7f72d2a23fbcb37236c3030cf94423ff95b70c386ed,TRUE
Taipei City,42,W05,TP1D_C1_DENGUE_RECEIVER,PASS,15,2.731348752975464,experiment://TP2M4D/outputs/receiver_bank/seed_42/taipei_city/w05/checkpoint.weights.h5,2a84630251abcb25aa7baa5360b5a5774da96ba7e30f9a6042518b4918899342,992ea51f281ecb47f59c7f8c098035fae139077598cd9e555bc4784de6254ede,24f09a7ac8f32f9eb5213d809bf1b30c1e0621aaac183337b1c86dc80f5a4a1b,855d5f6d53eb3ba931b3a7f72d2a23fbcb37236c3030cf94423ff95b70c386ed,TRUE
Yunlin County,42,W05,TP1D_C1_DENGUE_RECEIVER,PASS,4,1.271053433418274,experiment://TP2M4D/outputs/receiver_bank/seed_42/yunlin_county/w05/checkpoint.weights.h5,5b0bc8463c535d6ee0ee46e32a9ba072b8f8a4aa790ba4bd10a1bcbc033cf3ee,b644dce77c470eff6f4ebd4088254625b951fab5c391fa7e501fe20e819a39b8,24f09a7ac8f32f9eb5213d809bf1b30c1e0621aaac183337b1c86dc80f5a4a1b,855d5f6d53eb3ba931b3a7f72d2a23fbcb37236c3030cf94423ff95b70c386ed,TRUE
Kaohsiung City,123,W05,TP1D_C1_DENGUE_RECEIVER,PASS,2,3.193340539932251,experiment://TP2M4D/outputs/receiver_bank/seed_123/kaohsiung_city/w05/checkpoint.weights.h5,b57a848d4e149c8c279d9fcf05c913e99e1c3e41a35aaffffc877bdbad3169ac,194fb5ed12b95be6c59febb544388efaf8fe019a888786ee6e73f517d72836a0,24f09a7ac8f32f9eb5213d809bf1b30c1e0621aaac183337b1c86dc80f5a4a1b,855d5f6d53eb3ba931b3a7f72d2a23fbcb37236c3030cf94423ff95b70c386ed,TRUE
New Taipei City,123,W05,TP1D_C1_DENGUE_RECEIVER,PASS,6,4.226917743682861,experiment://TP2M4D/outputs/receiver_bank/seed_123/new_taipei_city/w05/checkpoint.weights.h5,a3e52d32a31ee40e0618a905f01cb274bb20595b223da9ea7155389664dd2b0e,f9753d263c5fd9cba64b3cdf1872128030540b5a3a9c0bb87360d7c7c66d6295,24f09a7ac8f32f9eb5213d809bf1b30c1e0621aaac183337b1c86dc80f5a4a1b,855d5f6d53eb3ba931b3a7f72d2a23fbcb37236c3030cf94423ff95b70c386ed,TRUE
Pingtung County,123,W05,TP1D_C1_DENGUE_RECEIVER,PASS,2,1.5656709671020508,experiment://TP2M4D/outputs/receiver_bank/seed_123/pingtung_county/w05/checkpoint.weights.h5,17739ed4ed3956f1e57cbf2a929570c90d5e8751d19af011a46e3bf9153eb0c6,584093732862725e8f9bd0fdddc4b066bfc8fc40f132120e18418951cf65525e,24f09a7ac8f32f9eb5213d809bf1b30c1e0621aaac183337b1c86dc80f5a4a1b,855d5f6d53eb3ba931b3a7f72d2a23fbcb37236c3030cf94423ff95b70c386ed,TRUE
