series_id,stratum,seed,receiver_family,status,best_epoch,best_validation_MSE,checkpoint_path,checkpoint_SHA256,GRU_configuration_SHA256,TP2M5A_protocol_freeze_SHA256,TP2M5B_pretraining_freeze_SHA256,dataset_SHA256,weights_frozen
Australia,WHO,42,GRU_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,16,0.02152879722416401,experiment://TP2M5B/outputs/gru_receiver_bank/seed_42/who/australia/w05/checkpoint.weights.h5,0f3752401687b3679184e2fd785f7fe76ac0ae73d4ce0384a94188373fd2ad89,98e18ac4421494ec8e46d265d519e42d5a852946b203078fdde34f62ad9a60ed,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,a7253d33bf8c1c6df5e2238eb8f16cc429bda3f519bf39f8881cea989b171f6b,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Austria,WHO,42,GRU_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,25,1.5097719430923462,experiment://TP2M5B/outputs/gru_receiver_bank/seed_42/who/austria/w05/checkpoint.weights.h5,4ad5bbb0a943a3815720309935c5b65636192e5aa8adecb4e34da42b2950de2d,53e1b54334956e9a942241d31b7e081741723fe284e76896487b06d60f7e7cd4,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,a7253d33bf8c1c6df5e2238eb8f16cc429bda3f519bf39f8881cea989b171f6b,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Bangladesh,WHO,42,GRU_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,12,0.9135978817939758,experiment://TP2M5B/outputs/gru_receiver_bank/seed_42/who/bangladesh/w05/checkpoint.weights.h5,9dffc5029048768dcab36ba2dc5128144d0a1c4f9d775d2457fd96538fcd937b,e410c7b276e645ac235c5ed134462076c5293a672865a8e78cf19adc6b9d9b58,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,a7253d33bf8c1c6df5e2238eb8f16cc429bda3f519bf39f8881cea989b171f6b,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Bhutan,WHO,42,GRU_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,1,8.094937324523926,experiment://TP2M5B/outputs/gru_receiver_bank/seed_42/who/bhutan/w05/checkpoint.weights.h5,d7d6a6589175ceeb85544f831b6cc9655826050add25de519116fe4f4c0e72b1,3042fcf19272c20e449fecdb10016b58884519ce2801aebb501ab676f6fb6b63,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,a7253d33bf8c1c6df5e2238eb8f16cc429bda3f519bf39f8881cea989b171f6b,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Brunei Darussalam,WHO,42,GRU_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,22,2.041795015335083,experiment://TP2M5B/outputs/gru_receiver_bank/seed_42/who/brunei_darussalam/w05/checkpoint.weights.h5,737243dfeda65597983a79dc0cd2b1772976e7e6747de815897f07983dc42b0c,a9b6447264bb349a1415de1aa6d5c2da4fe06c82e10203433cef2fde88d86e8c,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,a7253d33bf8c1c6df5e2238eb8f16cc429bda3f519bf39f8881cea989b171f6b,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Cambodia,WHO,42,GRU_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,8,2.141883611679077,experiment://TP2M5B/outputs/gru_receiver_bank/seed_42/who/cambodia/w05/checkpoint.weights.h5,32e02e0861e7d71a52de5ab720f0b7835d51e43179b124683ace04f4692e2a7a,6b5b316918cdfe3447143a865404848c7690e632ef47b47c76192cee6dd4c025,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,a7253d33bf8c1c6df5e2238eb8f16cc429bda3f519bf39f8881cea989b171f6b,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
China,WHO,42,GRU_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,30,2.934295654296875,experiment://TP2M5B/outputs/gru_receiver_bank/seed_42/who/china/w05/checkpoint.weights.h5,48f83ce6cae6aab1de9c2b1b9ddfd66de314c10c51d8a10b59b5a12ced71cf71,eb5e4dc7195680f77f28033a0f74550520434a616ad0808750002f5ea5d5920f,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,a7253d33bf8c1c6df5e2238eb8f16cc429bda3f519bf39f8881cea989b171f6b,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Fiji,WHO,42,GRU_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,3,1.3551950454711914,experiment://TP2M5B/outputs/gru_receiver_bank/seed_42/who/fiji/w05/checkpoint.weights.h5,0c737a095f25a1374d318c69e89bdee87dd55f6b9e28d1c6134eb4c552cd4441,8a7197843e43fde4ff341a7686cf9d26e25a23dee8b9f78339dc050bc8b27712,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,a7253d33bf8c1c6df5e2238eb8f16cc429bda3f519bf39f8881cea989b171f6b,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
French Polynesia,WHO,42,GRU_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,73,2104.923583984375,experiment://TP2M5B/outputs/gru_receiver_bank/seed_42/who/french_polynesia/w05/checkpoint.weights.h5,123318cc30b9398992c56956addc4fd71dd0deafc51f56ebf314d478fb5f556f,35e0cda80565859e5b370900e8c74c3c2678690087a05fd2c318dad55f6551d7,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,a7253d33bf8c1c6df5e2238eb8f16cc429bda3f519bf39f8881cea989b171f6b,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Guam,WHO,42,GRU_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,52,0.666387677192688,experiment://TP2M5B/outputs/gru_receiver_bank/seed_42/who/guam/w05/checkpoint.weights.h5,baa37598880a948abb73233e978bbf1b76ff958da0b491f26ee02b5008404629,9756f6391e6f90c0e509a30276c383313aa4aef1ab9f58dcd492fdd463934f1b,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,a7253d33bf8c1c6df5e2238eb8f16cc429bda3f519bf39f8881cea989b171f6b,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
