series_id,stratum,seed,receiver_family,status,best_epoch,best_validation_MSE,checkpoint_path,checkpoint_SHA256,Transformer_configuration_SHA256,TP2M5A_protocol_SHA256,TP2M5C_pretraining_freeze_SHA256,dataset_SHA256,weights_frozen
Australia,WHO,42,TRANSFORMER_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,28,0.01989593729376793,experiment://TP2M5C/outputs/transformer_receiver_bank/seed_42/who/australia/w05/checkpoint.weights.h5,c9531252e3153eca03e1d0e8c05075d613718529c9de4b70c19e408b1ab7294b,62387f1c67a1d1ff3887925e93602677ed71e227b014fd292a5d611cb98eb3d0,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,e6a6745c900c4a16b5bb90db2b61aa9e16c99ab7cf6346b59ffbe60641cf652d,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Austria,WHO,42,TRANSFORMER_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,3,2.1642749309539795,experiment://TP2M5C/outputs/transformer_receiver_bank/seed_42/who/austria/w05/checkpoint.weights.h5,c8491059fc4c7d3a2c93abccf2cdc51aa79e3741aa10aabc0734bffc9a77dfa6,39933fa581a1b8238cd59c66ff2b98a76ddfb4beb750c8dd55370b3fdb5d9319,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,e6a6745c900c4a16b5bb90db2b61aa9e16c99ab7cf6346b59ffbe60641cf652d,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Bangladesh,WHO,42,TRANSFORMER_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,14,0.8508755564689636,experiment://TP2M5C/outputs/transformer_receiver_bank/seed_42/who/bangladesh/w05/checkpoint.weights.h5,ea65173e1a58a841d708fd53ef6d38a6be98cbcd11c753bb3d4119ec91cebd02,37ceffe534e31af56caa1fd5d095095a7842d1fc41cbbacac26eeb9a4d23d20a,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,e6a6745c900c4a16b5bb90db2b61aa9e16c99ab7cf6346b59ffbe60641cf652d,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Bhutan,WHO,42,TRANSFORMER_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,4,8.002047538757324,experiment://TP2M5C/outputs/transformer_receiver_bank/seed_42/who/bhutan/w05/checkpoint.weights.h5,1c21b5cc4bba6db3c303106f1ce829ddaf65c5abed6fec7ed85a12344540cd93,708e90309620c17f10789231d37a1df1057052c187f08022d172cbb477fcc473,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,e6a6745c900c4a16b5bb90db2b61aa9e16c99ab7cf6346b59ffbe60641cf652d,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Brunei Darussalam,WHO,42,TRANSFORMER_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,25,2.3678641319274902,experiment://TP2M5C/outputs/transformer_receiver_bank/seed_42/who/brunei_darussalam/w05/checkpoint.weights.h5,2a70b30738fc14c0c6a83076b2a2a7da53ef057bd9285bc121541eff8c5a8416,6f9e416fe8932d75104e915cc2e583bbe13f138220a620f084578e29a4384aa4,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,e6a6745c900c4a16b5bb90db2b61aa9e16c99ab7cf6346b59ffbe60641cf652d,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Cambodia,WHO,42,TRANSFORMER_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,7,2.6602096557617188,experiment://TP2M5C/outputs/transformer_receiver_bank/seed_42/who/cambodia/w05/checkpoint.weights.h5,11958bdf919157318131ae2ea4b652ab7ac9ddd2f0a229a8e331a1b09945ba79,4b6eb54448aedc224ddc49a424c03361cff89dd4c359be01f647fc743a3e9aff,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,e6a6745c900c4a16b5bb90db2b61aa9e16c99ab7cf6346b59ffbe60641cf652d,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
China,WHO,42,TRANSFORMER_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,15,3.486274242401123,experiment://TP2M5C/outputs/transformer_receiver_bank/seed_42/who/china/w05/checkpoint.weights.h5,3c1c842994e985b00302690c1c66f5614238db199d89ea6bbfd863f4e5ab05ed,b1f9668aaae0ded3290d10cd7b6e15dbc37c2f96f5aaf8a6d0b7d48c5d613ec8,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,e6a6745c900c4a16b5bb90db2b61aa9e16c99ab7cf6346b59ffbe60641cf652d,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Fiji,WHO,42,TRANSFORMER_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,3,1.3358856439590454,experiment://TP2M5C/outputs/transformer_receiver_bank/seed_42/who/fiji/w05/checkpoint.weights.h5,21aa9244c3138a2ff695e987183dafd500b8544b4faf506a6076c007c02db1a2,76137765d0cc20ea45bc97f07b2ec7c1eb0e1c03c675e1b5894e83dfbce91286,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,e6a6745c900c4a16b5bb90db2b61aa9e16c99ab7cf6346b59ffbe60641cf652d,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
French Polynesia,WHO,42,TRANSFORMER_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,15,2111.152587890625,experiment://TP2M5C/outputs/transformer_receiver_bank/seed_42/who/french_polynesia/w05/checkpoint.weights.h5,33d163a4f8cdde176f725f2d0fbd38657db21732f9191aa0ea4de5af20febec8,b19ab998178e930d142fdf5fa56bfd2c38bd8ec591a8223189598a9b0a19402c,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,e6a6745c900c4a16b5bb90db2b61aa9e16c99ab7cf6346b59ffbe60641cf652d,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
Guam,WHO,42,TRANSFORMER_CONTROLLED_ALTERNATIVE,VALID_COMPLETE,10,1.07686448097229,experiment://TP2M5C/outputs/transformer_receiver_bank/seed_42/who/guam/w05/checkpoint.weights.h5,537e8671b669dad648c2dc5c79eab8b7d89bfeec2fdd7f3745445c77a4da73a7,99c3ffd945d3aa35b12ba0324efd3aeea799fef72b84f303566c5a42a7b90cda,02f237708fc67b29f6f4e2ba98f2ef5af248d48b979e000a2091a742ef3fa0df,e6a6745c900c4a16b5bb90db2b61aa9e16c99ab7cf6346b59ffbe60641cf652d,f9f6af1c1217a118b14ac76eddf5bae4080e461eba43ad350d0bb98f2695eeee,TRUE
