selection_order,series_id,role,start_date,end_date,n_observations,nonzero_days,nonzero_fraction,test_nonzero_variance_windows,min,max,mean,sum,selection_log1p_mean_initial428,selection_logdiff_vol_initial428,robust_z_scale,robust_z_volatility,eligible,eligibility_reason
1,T7,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,240.0,3639.0,638.1671858774663,614555.0,6.204647440412895,0.14258850861001426,-4.3003886590307845,4.1245301103977505,True,PASS
2,T314,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,2435700.0,10432700.0,4813810.384215992,4635699400.0,15.387958555537136,0.06368973157968795,7.508135006870759,-0.6276468327087629,True,PASS
3,T118,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,6289.0,8751.0,7527.742471443406,7249216.0,8.963334339468572,0.026795424711656003,-0.7530821237375193,-2.849839381558624,True,PASS
4,T108,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,853,0.885773624091381,10,0.0,4929.0,1429.5503634475597,1376657.0,7.181373378387651,3.150749551143424,-3.0444482679141602,185.31001974078623,True,PASS
5,T84,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,198.0,8669.0,2381.4631360332296,2293349.0,7.542573900106293,1.2871685357200222,-2.5799921632063474,73.0640880997659,True,PASS
6,T106,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,715.0,16940.0,4109.922118380062,3957855.0,8.325312823376992,0.7330291715977512,-1.573493419584146,39.68754655416787,True,PASS
7,T318,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,430.0,3436.0,1249.3333333333333,1203108.0,7.104455059154227,0.4317653663075023,-3.1433550545429356,21.542031969796497,True,PASS
8,T82,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,667.0,23288.0,12243.404984423676,11790399.0,9.347995667835086,1.1119581423129234,-0.2584585242068121,62.510936034787775,True,PASS
9,T128,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,220.0,12600.0,7346.512980269989,7074692.0,8.718410636279188,0.2834078229547576,-1.0680216166061498,12.60626232426892,True,PASS
10,T129,E2_ELECTRICITY_EXTERNAL,2012-01-01,2014-08-20,963,963,1.0,10,76892.0,381070.0,201615.2575285566,194155493.0,12.09848173681348,0.17177507491587118,3.2783028281090245,5.882475324096446,True,PASS
