series_id,role,start_date,end_date,n_observations,nonzero_days,nonzero_fraction,test_nonzero_variance_windows,min,max,mean,sum,eligible,eligibility_reason
India,D0_INTERNAL_REFERENCE,2020-03-02,2022-10-20,963,962,0.9989615784008308,10,0.0,414188.0,46351.52024922118,44636514.0,True,PASS
Indonesia,D0_INTERNAL_REFERENCE,2020-03-02,2022-10-20,963,955,0.9916926272066459,10,0.0,64718.0,6713.356178608515,6464962.0,True,PASS
Italy,D0_INTERNAL_REFERENCE,2020-03-02,2022-10-20,963,963,1.0,10,113.0,228123.0,24104.82346832814,23212945.0,True,PASS
Japan,D0_INTERNAL_REFERENCE,2020-03-02,2022-10-20,963,951,0.9875389408099688,10,0.0,326090.0,22735.616822429907,21894399.0,True,PASS
South Korea,D0_INTERNAL_REFERENCE,2020-03-02,2022-10-20,963,962,0.9989615784008308,10,0.0,621328.0,26184.816199376946,25215978.0,True,PASS
USA,D0_INTERNAL_REFERENCE,2020-03-02,2022-10-20,963,963,1.0,10,9.0,1265520.0,99404.34994807892,95726389.0,True,PASS
Australia,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,530,0.5503634475597092,10,0.0,588813.0,10376.389408099689,9992463.0,True,PASS
Austria,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,963,1.0,10,1.0,63507.0,5572.468328141225,5366287.0,True,PASS
Bangladesh,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,941,0.9771547248182763,10,0.0,16230.0,2111.7985462097613,2033662.0,True,PASS
Bhutan,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,632,0.656282450674974,10,0.0,2291.0,64.63966770508827,62248.0,True,PASS
Brunei Darussalam,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,457,0.4745586708203531,10,0.0,12420.0,246.7871235721703,237656.0,True,PASS
Cambodia,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,691,0.7175493250259606,9,0.0,1130.0,143.27622014537903,137975.0,True,PASS
China,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,961,0.9979231568016614,10,0.0,94753.0,8782.736240913811,8457775.0,True,PASS
Fiji,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,393,0.40809968847352024,10,0.0,1405.0,70.87019730010384,68248.0,True,PASS
French Polynesia,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,416,0.43198338525441327,10,0.0,2805.0,79.6791277258567,76731.0,True,PASS
Guam,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,607,0.6303219106957425,10,0.0,2632.0,50.89200415368639,49009.0,True,PASS
Lao People's Democratic Republic,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,568,0.5898234683281413,10,0.0,3915.0,224.4496365524403,216145.0,True,PASS
Malaysia,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,957,0.9937694704049844,10,0.0,33406.0,5059.755970924195,4872545.0,True,PASS
Maldives,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,830,0.8618899273104881,10,0.0,2838.0,192.30944963655244,185194.0,True,PASS
Mexico,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,963,1.0,10,2.0,81302.0,7402.345794392523,7128459.0,True,PASS
Mongolia,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,708,0.735202492211838,10,0.0,24556.0,1022.0695742471444,984253.0,True,PASS
Myanmar,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,872,0.9055036344755971,10,0.0,7083.0,654.128764278297,629926.0,True,PASS
Nepal,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,919,0.9543094496365524,10,0.0,10052.0,1038.7580477673935,1000324.0,True,PASS
New Caledonia,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,271,0.2814122533748702,10,0.0,3659.0,77.20353063343718,74347.0,True,PASS
New Zealand,E1_WHO_EXTERNAL,2020-03-02,2022-10-20,963,784,0.814122533748702,10,0.0,23904.0,1881.1536863966771,1811551.0,True,PASS
