receiver_condition,domain,series,seed_a,seed_b,panel_size,rows_per_context,P_star,aligned_tv,ari,alignment_gain,canonical_P_star,permutation_exact_agreement_with_96,delta_aligned_tv_vs_96,delta_ari_vs_96,delta_alignment_gain_vs_96,taxonomy_96,taxonomy_sensitivity,executability_status
LSTM_REFERENCE,WHO,Australia,42,123,96,32,2-0-4-3-1,0.33948868078571426,0.3189189189189189,0.6587893450000003,2-0-4-3-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Australia,42,123,72,24,2-0-4-3-1,0.33948868078571426,0.3189189189189189,0.6587893450000003,2-0-4-3-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Australia,42,123,48,16,2-0-4-3-1,0.33948868078571426,0.3189189189189189,0.6587893450000003,2-0-4-3-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Australia,42,2025,96,32,2-0-4-3-1,0.28712331078571435,0.4986737400530504,0.49546465328571415,2-0-4-3-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Australia,42,2025,72,24,2-0-4-3-1,0.28712331078571435,0.4986737400530504,0.49546465328571415,2-0-4-3-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Australia,42,2025,48,16,2-0-4-3-1,0.28712331078571435,0.4986737400530504,0.49546465328571415,2-0-4-3-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Australia,123,2025,96,32,0-4-1-2-3,0.4972652842857142,0.5737483085250338,-0.19248550571428563,0-4-1-2-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Australia,123,2025,72,24,0-1-3-2-4,0.3047797785714286,0.5737483085250338,0.0,0-4-1-2-3,FALSE,-0.19248550571428563,0.0,0.19248550571428563,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Australia,123,2025,48,16,0-1-2-3-4,0.3047797785714286,0.5737483085250338,0.0,0-4-1-2-3,FALSE,-0.19248550571428563,0.0,0.19248550571428563,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Austria,42,123,96,32,4-2-3-0-1,0.4647610385678571,0.24390398780797565,0.3135832822499999,4-2-3-0-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Austria,42,123,72,24,4-2-3-1-0,0.46744989442499996,0.24390398780797565,0.310894426392857,4-2-3-0-1,FALSE,0.0026888558571428467,0.0,-0.0026888558571428467,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Austria,42,123,48,16,0-2-3-1-4,0.4924975492821429,0.24390398780797565,0.2858467715357141,4-2-3-0-1,FALSE,0.02773651071428579,0.0,-0.02773651071428579,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Austria,42,2025,96,32,0-3-4-2-1,0.4851341493571429,0.040415587908947254,0.24948992060714287,0-3-4-2-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Austria,42,2025,72,24,0-3-4-2-1,0.4851341493571429,0.040415587908947254,0.24948992060714287,0-3-4-2-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Austria,42,2025,48,16,0-3-4-2-1,0.4851341493571429,0.040415587908947254,0.24948992060714287,0-3-4-2-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Austria,123,2025,96,32,2-1-3-4-0,0.4642018290678571,0.19293231565851857,0.1339808146785716,2-1-3-4-0,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Austria,123,2025,72,24,2-1-3-4-0,0.4642018290678571,0.19293231565851857,0.1339808146785716,2-1-3-4-0,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Austria,123,2025,48,16,0-1-2-3-4,0.5981826437464287,0.19293231565851857,0.0,2-1-3-4-0,FALSE,0.1339808146785716,0.0,-0.1339808146785716,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bangladesh,42,123,96,32,2-0-4-1-3,0.6195749407196429,0.09505446833124455,0.2211934553107141,2-0-4-1-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bangladesh,42,123,72,24,2-0-4-1-3,0.6195749407196429,0.09505446833124455,0.2211934553107141,2-0-4-1-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bangladesh,42,123,48,16,2-0-4-1-3,0.6195749407196429,0.09505446833124455,0.2211934553107141,2-0-4-1-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bangladesh,42,2025,96,32,2-4-0-3-1,0.6379263038053571,0.04778156996587027,-0.05953188151071409,2-4-0-3-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bangladesh,42,2025,72,24,1-4-3-0-2,0.6355702165982143,0.04778156996587027,-0.05717579430357134,2-4-0-3-1,FALSE,-0.002356087207142754,0.0,0.002356087207142754,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bangladesh,42,2025,48,16,1-4-0-3-2,0.6494576857053571,0.04778156996587027,-0.07106326341071412,2-4-0-3-1,FALSE,0.011531381900000026,0.0,-0.011531381900000026,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bangladesh,123,2025,96,32,4-0-1-2-3,0.5735972801107143,0.0799136069114471,0.251206649642857,4-0-1-2-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bangladesh,123,2025,72,24,4-0-1-2-3,0.5735972801107143,0.0799136069114471,0.251206649642857,4-0-1-2-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bangladesh,123,2025,48,16,4-0-1-2-3,0.5735972801107143,0.0799136069114471,0.251206649642857,4-0-1-2-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bhutan,42,123,96,32,3-0-4-1-2,0.4861216464501786,-0.048159535645527385,0.21272943384964277,3-0-4-1-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bhutan,42,123,72,24,3-4-2-1-0,0.4796993675141072,-0.048159535645527385,0.21915171278571416,3-0-4-1-2,FALSE,-0.0064222789360713906,0.0,0.0064222789360713906,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bhutan,42,123,48,16,3-0-4-1-2,0.4861216464501786,-0.048159535645527385,0.21272943384964277,3-0-4-1-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bhutan,42,2025,96,32,1-0-4-3-2,0.3622407473303571,-0.06562808967747102,0.35874229350000014,1-0-4-3-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bhutan,42,2025,72,24,1-0-4-3-2,0.3622407473303571,-0.06562808967747102,0.35874229350000014,1-0-4-3-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bhutan,42,2025,48,16,1-0-4-3-2,0.3622407473303571,-0.06562808967747102,0.35874229350000014,1-0-4-3-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bhutan,123,2025,96,32,0-4-2-1-3,0.42963590680875,0.2182208319329904,0.06449732907142858,0-4-2-1-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bhutan,123,2025,72,24,0-4-2-1-3,0.42963590680875,0.2182208319329904,0.06449732907142858,0-4-2-1-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Bhutan,123,2025,48,16,0-1-3-2-4,0.4830482956658928,0.2182208319329904,0.011084940214285799,0-4-2-1-3,FALSE,0.05341238885714278,0.0,-0.05341238885714278,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Brunei Darussalam,42,123,96,32,2-3-4-1-0,0.29498943538035716,0.04298801973220582,0.624044166775,2-3-4-1-0,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Brunei Darussalam,42,123,72,24,2-3-4-1-0,0.29498943538035716,0.04298801973220582,0.624044166775,2-3-4-1-0,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Brunei Darussalam,42,123,48,16,2-3-4-1-0,0.29498943538035716,0.04298801973220582,0.624044166775,2-3-4-1-0,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Brunei Darussalam,42,2025,96,32,1-3-4-2-0,0.525852417482143,0.00951382729984667,0.3807418479642857,1-3-4-2-0,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Brunei Darussalam,42,2025,72,24,1-3-4-2-0,0.525852417482143,0.00951382729984667,0.3807418479642857,1-3-4-2-0,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Brunei Darussalam,42,2025,48,16,1-3-4-2-0,0.525852417482143,0.00951382729984667,0.3807418479642857,1-3-4-2-0,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Brunei Darussalam,123,2025,96,32,0-4-1-3-2,0.5122792882446429,-0.052287581699345935,0.1642208346428573,0-4-1-3-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Brunei Darussalam,123,2025,72,24,0-2-3-1-4,0.7862719351017858,-0.052287581699345935,-0.10977181221428567,0-4-1-3-2,FALSE,0.273992646857143,0.0,-0.273992646857143,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Brunei Darussalam,123,2025,48,16,0-4-1-3-2,0.5122792882446429,-0.052287581699345935,0.1642208346428573,0-4-1-3-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Cambodia,42,123,96,32,3-4-0-1-2,0.48125256253035714,0.20339295592845286,0.16087460286785688,3-4-0-1-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Cambodia,42,123,72,24,3-4-0-1-2,0.48125256253035714,0.20339295592845286,0.16087460286785688,3-4-0-1-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Cambodia,42,123,48,16,3-4-0-1-2,0.48125256253035714,0.20339295592845286,0.16087460286785688,3-4-0-1-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Cambodia,42,2025,96,32,0-2-3-4-1,0.5450419671285714,0.0,0.4535124397071426,0-2-3-4-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Cambodia,42,2025,72,24,0-2-3-4-1,0.5450419671285714,0.0,0.4535124397071426,0-2-3-4-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Cambodia,42,2025,48,16,1-0-3-4-2,0.5435963714785714,0.0,0.45495803535714263,0-2-3-4-1,FALSE,-0.00144559565000002,0.0,0.00144559565000002,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Cambodia,123,2025,96,32,0-4-2-1-3,0.28484438834107145,0.0,0.6089839899892857,0-4-2-1-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Cambodia,123,2025,72,24,0-4-2-1-3,0.28484438834107145,0.0,0.6089839899892857,0-4-2-1-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Cambodia,123,2025,48,16,0-4-2-1-3,0.28484438834107145,0.0,0.6089839899892857,0-4-2-1-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,China,42,123,96,32,0-3-4-2-1,0.4937915865535714,0.13671444321940462,0.02177628632142853,0-3-4-2-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,China,42,123,72,24,0-3-4-2-1,0.4937915865535714,0.13671444321940462,0.02177628632142853,0-3-4-2-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,China,42,123,48,16,0-3-4-2-1,0.4937915865535714,0.13671444321940462,0.02177628632142853,0-3-4-2-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,China,42,2025,96,32,2-0-3-1-4,0.6059526542478572,0.18886679920477137,-0.08367246681714291,2-0-3-1-4,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,China,42,2025,72,24,2-0-3-1-4,0.6059526542478572,0.18886679920477137,-0.08367246681714291,2-0-3-1-4,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,China,42,2025,48,16,3-4-2-0-1,0.5474143060164286,0.18886679920477137,-0.02513411858571435,2-0-3-1-4,FALSE,-0.05853834823142856,0.0,0.05853834823142856,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,China,123,2025,96,32,0-1-2-3-4,0.5399743878942858,0.11702440458688618,0.0,0-1-2-3-4,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,China,123,2025,72,24,0-1-2-3-4,0.5399743878942858,0.11702440458688618,0.0,0-1-2-3-4,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,China,123,2025,48,16,3-1-0-2-4,0.45617859121285714,0.11702440458688618,0.08379579668142861,0-1-2-3-4,FALSE,-0.08379579668142861,0.0,0.08379579668142861,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Fiji,42,123,96,32,2-3-4-1-0,0.3978273446071428,0.12380416432189088,0.48354567710714286,2-3-4-1-0,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Fiji,42,123,72,24,2-3-4-1-0,0.3978273446071428,0.12380416432189088,0.48354567710714286,2-3-4-1-0,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Fiji,42,123,48,16,2-3-4-1-0,0.3978273446071428,0.12380416432189088,0.48354567710714286,2-3-4-1-0,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Fiji,42,2025,96,32,1-3-0-4-2,0.50447329285,0.1534034530660845,0.2794872157285715,1-3-0-4-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Fiji,42,2025,72,24,1-3-0-4-2,0.50447329285,0.1534034530660845,0.2794872157285715,1-3-0-4-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Fiji,42,2025,48,16,1-3-0-4-2,0.50447329285,0.1534034530660845,0.2794872157285715,1-3-0-4-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Fiji,123,2025,96,32,0-4-1-3-2,0.6331815555642857,-0.006060109737122208,-0.028077099642857206,0-4-1-3-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Fiji,123,2025,72,24,0-4-1-3-2,0.6331815555642857,-0.006060109737122208,-0.028077099642857206,0-4-1-3-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Fiji,123,2025,48,16,0-4-1-3-2,0.6331815555642857,-0.006060109737122208,-0.028077099642857206,0-4-1-3-2,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,French Polynesia,42,123,96,32,3-2-0-4-1,0.4755734684821428,0.08223934953840938,0.01839123532142861,3-2-0-4-1,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,French Polynesia,42,123,72,24,4-2-1-3-0,0.4415351442678572,0.08223934953840938,0.05242955953571421,3-2-0-4-1,FALSE,-0.0340383242142856,0.0,0.0340383242142856,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,French Polynesia,42,123,48,16,3-4-1-2-0,0.6618282895892856,0.08223934953840938,-0.1678635857857142,3-2-0-4-1,FALSE,0.1862548211071428,0.0,-0.1862548211071428,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,French Polynesia,42,2025,96,32,1-4-0-2-3,0.519124757475,0.0,0.3912691543642858,1-4-0-2-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,French Polynesia,42,2025,72,24,2-3-0-4-1,0.5399962769107143,0.0,0.3703976349285715,1-4-0-2-3,FALSE,0.020871519435714303,0.0,-0.020871519435714303,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,French Polynesia,42,2025,48,16,1-4-0-2-3,0.519124757475,0.0,0.3912691543642858,1-4-0-2-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,French Polynesia,123,2025,96,32,1-0-4-2-3,0.4981054810642857,0.0,0.38506333290714273,1-0-4-2-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,French Polynesia,123,2025,72,24,1-0-3-4-2,0.37962762421428575,0.0,0.5035411897571427,1-0-4-2-3,FALSE,-0.11847785684999995,0.0,0.11847785684999995,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,French Polynesia,123,2025,48,16,1-0-4-2-3,0.4981054810642857,0.0,0.38506333290714273,1-0-4-2-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
LSTM_REFERENCE,WHO,Guam,42,123,96,32,0-2-1-4-3,0.48449476014285714,-0.04119043849928765,0.09276227689285715,0-2-1-4-3,TRUE,0.0,0.0,0.0,STRUCTURALLY UNSTABLE,STRUCTURALLY UNSTABLE,EXECUTABLE
