receiver_condition,domain,panel_size,n_rows,exact_permutation_agreement_rate_with_96,median_abs_delta_aligned_tv,iqr_abs_delta_aligned_tv,max_abs_delta_aligned_tv,median_abs_delta_ari,iqr_abs_delta_ari,max_abs_delta_ari,taxonomy_agreement_rate_with_canonical_96,receiver_domain_median_aligned_tv,receiver_domain_median_ari,unstable_count,soft_count,stable_count,CANONICAL_96_REPRODUCED,PANEL_72_PORTFOLIO_MEDIAN_SIGNAL_PRESERVED,PANEL_48_PORTFOLIO_MEDIAN_SIGNAL_PRESERVED
LSTM_REFERENCE,WHO,96,90,1.0,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,1.0,0.5315756848571428,0.07360634703904195,90,0,0,YES,YES,YES
LSTM_REFERENCE,WHO,72,90,0.6222222222222222,0.0,"[0.0, 0.018736674642857207]",0.3951434639285716,0.0,"[0.0, 0.0]",0.0,1.0,0.5399853324025,0.07360634703904195,90,0,0,YES,YES,YES
LSTM_REFERENCE,WHO,48,90,0.4666666666666667,0.0018957317892857595,"[0.0, 0.06054487827928568]",0.42652034207142875,0.0,"[0.0, 0.0]",0.0,1.0,0.5224885874785714,0.07360634703904195,90,0,0,YES,YES,YES
LSTM_REFERENCE,Electricity,96,108,1.0,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,1.0,0.4785062779830357,0.19532016602380192,88,14,6,YES,YES,YES
LSTM_REFERENCE,Electricity,72,108,0.6203703703703703,0.0,"[0.0, 0.02161131481249992]",0.24679839291071426,0.0,"[0.0, 0.0]",0.0,1.0,0.4814507468416964,0.19532016602380192,88,14,6,YES,YES,YES
LSTM_REFERENCE,Electricity,48,108,0.5462962962962963,0.0,"[0.0, 0.03667767854642859]",0.2536585997142856,0.0,"[0.0, 0.0]",0.0,0.9907407407407407,0.4860189821973214,0.19532016602380192,88,15,5,YES,YES,YES
LSTM_REFERENCE,Dengue,96,21,1.0,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,1.0,0.5444561763089286,0.10381831794359864,18,3,0,YES,YES,YES
LSTM_REFERENCE,Dengue,72,21,0.6666666666666666,0.0,"[0.0, 0.004510287857142803]",0.4150641151249999,0.0,"[0.0, 0.0]",0.0,1.0,0.5616162287321429,0.10381831794359864,18,3,0,YES,YES,YES
LSTM_REFERENCE,Dengue,48,21,0.5714285714285714,0.0,"[0.0, 0.06334550821428564]",0.4150641151249999,0.0,"[0.0, 0.0]",0.0,1.0,0.5606899188392858,0.10381831794359864,18,3,0,YES,YES,YES
GRU_CONTROLLED_ALTERNATIVE,WHO,96,90,1.0,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,1.0,0.5285098145767857,0.09272342922457842,89,1,0,YES,YES,YES
GRU_CONTROLLED_ALTERNATIVE,WHO,72,90,0.6444444444444445,0.0,"[0.0, 0.019242037687499935]",0.3801262691964285,0.0,"[0.0, 0.0]",0.0,1.0,0.5367908268866071,0.09272342922457842,89,1,0,YES,YES,YES
GRU_CONTROLLED_ALTERNATIVE,WHO,48,90,0.5,0.0,"[0.0, 0.05221787865178573]",0.2749263850607141,0.0,"[0.0, 0.0]",0.0,1.0,0.5324016841910714,0.09272342922457842,89,1,0,YES,YES,YES
GRU_CONTROLLED_ALTERNATIVE,Electricity,96,108,1.0,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,1.0,0.472015103878125,0.11443814668874958,96,8,4,YES,YES,YES
GRU_CONTROLLED_ALTERNATIVE,Electricity,72,108,0.5277777777777778,0.0,"[0.0, 0.03137973447678574]",0.23113465221428586,0.0,"[0.0, 0.0]",1.0,0.9907407407407407,0.4700678713544644,0.11706258328922192,95,9,4,YES,YES,YES
GRU_CONTROLLED_ALTERNATIVE,Electricity,48,108,0.4444444444444444,0.0001580583755356746,"[0.0, 0.03360161193750008]",0.18821113942857148,0.0,"[0.0, 0.0]",1.0,0.9907407407407407,0.47589599744999994,0.11706258328922192,95,9,4,YES,YES,YES
GRU_CONTROLLED_ALTERNATIVE,Dengue,96,21,1.0,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,1.0,0.4411780993339286,0.0,20,0,1,YES,YES,YES
GRU_CONTROLLED_ALTERNATIVE,Dengue,72,21,0.7619047619047619,0.0,"[0.0, 0.0]",0.17239523542857144,0.0,"[0.0, 0.0]",0.0,1.0,0.4411780993339286,0.0,20,0,1,YES,YES,YES
GRU_CONTROLLED_ALTERNATIVE,Dengue,48,21,0.6190476190476191,0.0,"[0.0, 0.20306446285000024]",0.43434401303571435,0.0,"[0.0, 0.0]",0.0,1.0,0.5021954870285714,0.0,20,0,1,YES,YES,YES
TRANSFORMER_CONTROLLED_ALTERNATIVE,WHO,96,90,1.0,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,1.0,0.5184908983892857,0.09540639613257158,89,0,1,YES,YES,YES
TRANSFORMER_CONTROLLED_ALTERNATIVE,WHO,72,90,0.5555555555555556,0.0,"[0.0, 0.03978681505357136]",0.5538880292285715,0.0,"[0.0, 0.0]",0.0,0.9888888888888889,0.5229593670714285,0.09540639613257158,89,1,0,YES,YES,YES
TRANSFORMER_CONTROLLED_ALTERNATIVE,WHO,48,90,0.45555555555555555,0.0027482820178571787,"[0.0, 0.06738905285714275]",0.4422865748571428,0.0,"[0.0, 0.0]",0.0,1.0,0.5086589841714286,0.09540639613257158,89,0,1,YES,YES,YES
