receiver_architecture,country,sender_seed,receiver_seed,receiver_stratum,rho_FUNCTIONAL,rho_THETA_RKA,delta_rho
GRU,Australia,42,42,CROSS_ARCH_SAME_SEED_ID,1.4159521760785654,1.0906444925089438,0.3253076835696216
GRU,Australia,42,123,CROSS_ARCH_CROSS_SEED,0.3016697862255351,0.1434587439610295,0.15821104226450558
GRU,Australia,42,2025,CROSS_ARCH_CROSS_SEED,0.8998268101070247,0.5220597000330964,0.37776711007392827
GRU,Australia,123,42,CROSS_ARCH_CROSS_SEED,1.1974339505324014,0.9270839034158038,0.2703500471165976
GRU,Australia,123,123,CROSS_ARCH_SAME_SEED_ID,0.5896862927530977,0.5715991143712226,0.018087178381875124
GRU,Australia,123,2025,CROSS_ARCH_CROSS_SEED,1.0806169893780897,0.1736302347098703,0.9069867546682194
GRU,Australia,2025,42,CROSS_ARCH_CROSS_SEED,1.0982358064986413,0.5156919655278508,0.5825438409707905
GRU,Australia,2025,123,CROSS_ARCH_CROSS_SEED,0.193381937099974,0.6982297261710347,-0.5048477890710608
GRU,Australia,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.40887200255259576,0.33945875006649523,0.06941325248610053
GRU,Austria,42,42,CROSS_ARCH_SAME_SEED_ID,0.8213978508881006,0.8702253213852706,-0.04882747049717007
GRU,Austria,42,123,CROSS_ARCH_CROSS_SEED,1.1126547359599008,1.2050045113625394,-0.09234977540263856
GRU,Austria,42,2025,CROSS_ARCH_CROSS_SEED,0.592519244935472,0.5823050754254155,0.010214169510056492
GRU,Austria,123,42,CROSS_ARCH_CROSS_SEED,1.4629799677313051,2.208309334475145,-0.7453293667438401
GRU,Austria,123,123,CROSS_ARCH_SAME_SEED_ID,0.7549895993273674,0.3657087099768257,0.3892808893505417
GRU,Austria,123,2025,CROSS_ARCH_CROSS_SEED,1.2579344616179795,1.2492787300335135,0.008655731584465975
GRU,Austria,2025,42,CROSS_ARCH_CROSS_SEED,1.6251649251122435,1.7022490096731704,-0.07708408456092686
GRU,Austria,2025,123,CROSS_ARCH_CROSS_SEED,1.4698996390370653,1.4044922708198169,0.06540736821724846
GRU,Austria,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.3859449892883969,0.24171884594837414,0.14422614334002273
GRU,Bangladesh,42,42,CROSS_ARCH_SAME_SEED_ID,0.2678756250905216,0.24581267517837396,0.022062949912147634
GRU,Bangladesh,42,123,CROSS_ARCH_CROSS_SEED,1.4869513670094714,1.1546109462832506,0.33234042072622083
GRU,Bangladesh,42,2025,CROSS_ARCH_CROSS_SEED,1.26638176749673,1.28827956571805,-0.021897798221319986
