receiver_architecture,country,receiver_stratum,country_median_delta_rho,n_paired_contexts,country_direction
GRU,Australia,CROSS_ARCH_SAME_SEED_ID,0.06941325248610053,3,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Australia,CROSS_ARCH_CROSS_SEED,0.32405857859526294,6,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Austria,CROSS_ARCH_SAME_SEED_ID,0.14422614334002273,3,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Austria,CROSS_ARCH_CROSS_SEED,-0.03421417648823044,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Bangladesh,CROSS_ARCH_SAME_SEED_ID,-0.05491420542670852,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Bangladesh,CROSS_ARCH_CROSS_SEED,-0.03832035585328997,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Bhutan,CROSS_ARCH_SAME_SEED_ID,-0.038137137286847644,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Bhutan,CROSS_ARCH_CROSS_SEED,-0.24282071185766585,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Brunei Darussalam,CROSS_ARCH_SAME_SEED_ID,-0.781598043324318,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Brunei Darussalam,CROSS_ARCH_CROSS_SEED,-0.3696170309316588,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Cambodia,CROSS_ARCH_SAME_SEED_ID,-0.2516282950040372,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Cambodia,CROSS_ARCH_CROSS_SEED,-0.07459229547631982,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,China,CROSS_ARCH_SAME_SEED_ID,0.10630695783241645,3,THETA_RKA_DIRECTIONALLY_BETTER
GRU,China,CROSS_ARCH_CROSS_SEED,-0.07106538474393453,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Fiji,CROSS_ARCH_SAME_SEED_ID,0.08646589433154409,3,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Fiji,CROSS_ARCH_CROSS_SEED,-0.02625824208632216,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,French Polynesia,CROSS_ARCH_SAME_SEED_ID,-0.028650925528980076,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,French Polynesia,CROSS_ARCH_CROSS_SEED,-0.1426928411829712,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Guam,CROSS_ARCH_SAME_SEED_ID,-0.09440465131238496,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Guam,CROSS_ARCH_CROSS_SEED,-0.07290275123208992,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Lao People's Democratic Republic,CROSS_ARCH_SAME_SEED_ID,-0.05634305716326349,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Lao People's Democratic Republic,CROSS_ARCH_CROSS_SEED,0.031374653530168994,6,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Malaysia,CROSS_ARCH_SAME_SEED_ID,0.23867543161961996,3,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Malaysia,CROSS_ARCH_CROSS_SEED,0.22908327653539895,6,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Maldives,CROSS_ARCH_SAME_SEED_ID,0.05517495627843616,3,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Maldives,CROSS_ARCH_CROSS_SEED,-0.003470530056710719,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Mexico,CROSS_ARCH_SAME_SEED_ID,-0.9501055763980648,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Mexico,CROSS_ARCH_CROSS_SEED,0.21060238682264887,6,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Mongolia,CROSS_ARCH_SAME_SEED_ID,-0.13905824595987998,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Mongolia,CROSS_ARCH_CROSS_SEED,0.1308955964125504,6,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Myanmar,CROSS_ARCH_SAME_SEED_ID,-0.027030283568909574,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Myanmar,CROSS_ARCH_CROSS_SEED,-0.07027195018094279,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Nepal,CROSS_ARCH_SAME_SEED_ID,0.14126118134031762,3,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Nepal,CROSS_ARCH_CROSS_SEED,-0.024421917195493192,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,New Caledonia,CROSS_ARCH_SAME_SEED_ID,0.005858329308616683,3,THETA_RKA_DIRECTIONALLY_BETTER
GRU,New Caledonia,CROSS_ARCH_CROSS_SEED,0.12822912988164514,6,THETA_RKA_DIRECTIONALLY_BETTER
GRU,New Zealand,CROSS_ARCH_SAME_SEED_ID,-0.03405889301713265,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,New Zealand,CROSS_ARCH_CROSS_SEED,-0.019260118798072212,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Northern Mariana Islands,CROSS_ARCH_SAME_SEED_ID,0.0863142850470564,3,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Northern Mariana Islands,CROSS_ARCH_CROSS_SEED,-0.13190763746713063,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Papua New Guinea,CROSS_ARCH_SAME_SEED_ID,-0.03374650528476923,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Papua New Guinea,CROSS_ARCH_CROSS_SEED,-0.02180451916766868,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Philippines,CROSS_ARCH_SAME_SEED_ID,-0.00987284087790019,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Philippines,CROSS_ARCH_CROSS_SEED,-0.014843017490705199,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Singapore,CROSS_ARCH_SAME_SEED_ID,0.12413174719206044,3,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Singapore,CROSS_ARCH_CROSS_SEED,-0.18963205873431166,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Sri Lanka,CROSS_ARCH_SAME_SEED_ID,-0.11822323793573664,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Sri Lanka,CROSS_ARCH_CROSS_SEED,-0.136347121767306,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Switzerland,CROSS_ARCH_SAME_SEED_ID,0.17574790441507487,3,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Switzerland,CROSS_ARCH_CROSS_SEED,-0.34764273549766833,6,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Thailand,CROSS_ARCH_SAME_SEED_ID,-0.002801464340797477,3,FUNCTIONAL_DIRECTIONALLY_BETTER
GRU,Thailand,CROSS_ARCH_CROSS_SEED,0.06319928814732345,6,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Timor-Leste,CROSS_ARCH_SAME_SEED_ID,0.04910168847491647,3,THETA_RKA_DIRECTIONALLY_BETTER
GRU,Timor-Leste,CROSS_ARCH_CROSS_SEED,0.006884939689697056,6,THETA_RKA_DIRECTIONALLY_BETTER
