receiver_architecture,country,sender_seed,receiver_seed,receiver_stratum,sender_source,P_align_sender_to_receiver,swap_mean_abs_deviation,receiver_neutral_mean_abs_deviation,swap_to_neutral_ratio,receiver_native_equivalence_error,checkpoint_hash_verified
GRU,Australia,42,42,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,1-0-2-3-4,12026.705078125,8493.72265625,1.4159521760785654,0.0,TRUE
GRU,Australia,123,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,3-0-4-1-2,10170.671875,8493.72265625,1.1974339505324014,0.0,TRUE
GRU,Australia,2025,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,0-3-4-1-2,9328.1103515625,8493.72265625,1.0982358064986413,0.0,TRUE
GRU,Australia,42,42,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,1-0-2-3-4,9263.6318359375,8493.72265625,1.0906444925089438,0.0,TRUE
GRU,Australia,123,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-3-1-4-2,7874.3935546875,8493.72265625,0.9270839034158038,0.0,TRUE
GRU,Australia,2025,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-3-4-2-1,4380.14453125,8493.72265625,0.5156919655278508,0.0,TRUE
GRU,Australia,42,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,1-2-0-4-3,2994.73046875,9927.1806640625,0.3016697862255351,0.0,TRUE
GRU,Australia,123,123,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,5853.92236328125,9927.1806640625,0.5896862927530977,0.0,TRUE
GRU,Australia,2025,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,0-3-2-1-4,1919.7374267578125,9927.1806640625,0.193381937099974,0.0,TRUE
GRU,Australia,42,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,1-2-0-4-3,1424.140869140625,9927.1806640625,0.1434587439610295,0.0,TRUE
GRU,Australia,123,123,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,5674.36767578125,9927.1806640625,0.5715991143712226,0.0,TRUE
GRU,Australia,2025,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-3-2-1-4,6931.45263671875,9927.1806640625,0.6982297261710347,0.0,TRUE
GRU,Australia,42,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,1-4-0-3-2,8573.2607421875,9527.6787109375,0.8998268101070247,0.0,TRUE
GRU,Australia,123,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,0-1-2-3-4,10295.771484375,9527.6787109375,1.0806169893780897,0.0,TRUE
GRU,Australia,2025,2025,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,3895.60107421875,9527.6787109375,0.40887200255259576,0.0,TRUE
GRU,Australia,42,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,1-4-0-3-2,4974.01708984375,9527.6787109375,0.5220597000330964,0.0,TRUE
GRU,Australia,123,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-1-2-3-4,1654.2930908203125,9527.6787109375,0.1736302347098703,0.0,TRUE
GRU,Australia,2025,2025,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,3234.25390625,9527.6787109375,0.33945875006649523,0.0,TRUE
GRU,Austria,42,42,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,193.778564453125,235.9131622314453,0.8213978508881006,0.0,TRUE
