series_id,series_dir,window,seed,latent_effect_strength,mean_abs_latent_effect,mean_abs_prediction,hidden_delta_rms
Kaohsiung City,kaohsiung_city,5,42,0.008472637274479082,0.2650998532772064,31.288942337036133,0.022206353023648262
Kaohsiung City,kaohsiung_city,5,123,0.016768879550101538,0.5260018706321716,31.367738723754883,0.03273625671863556
Kaohsiung City,kaohsiung_city,5,2025,0.019039575877675338,0.5820450186729431,30.570270538330078,0.029661832377314568
New Taipei City,new_taipei_city,5,42,0.21189057923925347,0.24879924952983856,1.174187421798706,0.1342175155878067
New Taipei City,new_taipei_city,5,123,0.10372390774466488,0.1698543280363083,1.6375619173049927,0.0513850674033165
New Taipei City,new_taipei_city,5,2025,0.02558333406920841,0.03970497101545334,1.5519856214523315,0.03582208603620529
Pingtung County,pingtung_county,5,42,0.0036551386226429195,0.0169991422444582,4.650752067565918,0.026527592912316322
Pingtung County,pingtung_county,5,123,0.03594198615590297,0.1538027822971344,4.279196262359619,0.04111175239086151
Pingtung County,pingtung_county,5,2025,0.005320363235442547,0.025908956304192543,4.869771480560303,0.01624171808362007
Taichung City,taichung_city,5,42,0.09379546074828357,0.038532283157110214,0.41081181168556213,0.05763053894042969
Taichung City,taichung_city,5,123,0.3022563299847924,0.09893786162137985,0.32733097672462463,0.07204114645719528
Taichung City,taichung_city,5,2025,0.23213788012724723,0.11693883687257767,0.5037473440170288,0.06371679902076721
Tainan City,tainan_city,5,42,0.004204618694597452,0.8738049268722534,207.82022094726562,0.03318655863404274
Tainan City,tainan_city,5,123,0.018229947510424827,3.5617926120758057,195.3813934326172,0.040304187685251236
Tainan City,tainan_city,5,2025,0.003474955254677966,0.7853562235832214,226.00473022460938,0.03339606896042824
Taipei City,taipei_city,5,42,0.08102752857207912,0.09209128469228745,1.1365432739257812,0.08097568899393082
Taipei City,taipei_city,5,123,0.05841267215427455,0.04849693551659584,0.8302468061447144,0.04747520014643669
Taipei City,taipei_city,5,2025,0.01806481266217739,0.01511348132044077,0.8366255164146423,0.030685236677527428
Yunlin County,yunlin_county,5,42,0.038286324217045094,0.20469073951244354,5.346314430236816,0.04248259216547012
Yunlin County,yunlin_county,5,123,0.035439524183370104,0.18084560334682465,5.102935791015625,0.04224667325615883
Yunlin County,yunlin_county,5,2025,0.009636674714252445,0.050254013389348984,5.214870452880859,0.03179541975259781
