gate,value,threshold,PASS_FAIL,denominator,source
Strict GATE 1,267/270,270/270,FAIL_EXECUTION_BOUNDARY,270,experiment://TP2M4B2_R1/TP2M4B2_R1_GATE_TABLE_STRICT_AND_BOUNDARY_AWARE.csv
GATE 2A,-0.0037976805339983385,<= 0.01,PASS,29,experiment://TP2M4B2_R1/TP2M4B2_R1_GATE_TABLE_STRICT_AND_BOUNDARY_AWARE.csv
GATE 2B,0.6441616718167066,<= 0.05,FAIL,29,experiment://TP2M4B2_R1/TP2M4B2_R1_GATE_TABLE_STRICT_AND_BOUNDARY_AWARE.csv
GATE 3,0.116645221724542,>= 0.20,FAIL,29,experiment://TP2M4B2_R1/TP2M4B2_R1_GATE_TABLE_STRICT_AND_BOUNDARY_AWARE.csv
GATE 4,1.0894175736261693,<= 0.90,FAIL,29,experiment://TP2M4B2_R1/TP2M4B2_R1_GATE_TABLE_STRICT_AND_BOUNDARY_AWARE.csv
GATE 5,0.019994580377878046,FUNCTIONAL < THETA_RKA,FAIL,29,experiment://TP2M4B2_R1/TP2M4B2_R1_GATE_TABLE_STRICT_AND_BOUNDARY_AWARE.csv
GATE 6,"{""neutral"": 21.29100227355957, ""perturb"": 30.4753360748291, ""entropy_ratio"": 1.1141276949568755, ""active_ratio"": 1.0144927536231882}",canonical,PASS,29,experiment://TP2M4B2_R1/TP2M4B2_R1_GATE_TABLE_STRICT_AND_BOUNDARY_AWARE.csv
GATE 7,False,must not trigger,PASS,29,experiment://TP2M4B2_R1/TP2M4B2_R1_GATE_TABLE_STRICT_AND_BOUNDARY_AWARE.csv
matched_N,29,NA,NA,31,experiment://TP2M4B2_R1/TP2M4B2_R1_MATCHED_COHORT_FREEZE.json
FUNCTIONAL forecast-retention rows,87,NA,NA,matched outputs,experiment://TP2M4B2_R1/TP2M4B2_R1_FORECAST_MATCHED29.csv
internal swap reduction rows,174,NA,NA,174,experiment://TP2M4B2_R1/TP2M4B2_R1_FUNCTIONAL_INTERNAL_SWAPS_MATCHED29.csv
THETA_RKA comparison rows,261,NA,NA,261,experiment://TP2M4B2_R1/TP2M4B2_R1_THETA_RKA_RECEIVER_BANK_MATCHED29.csv
held-out receiver-transfer strata rows,6,NA,NA,4,experiment://TP2M4B2_R1/TP2M4B2_R1_RECEIVER_STRATA_MATCHED29.csv
latent-use diagnostics rows,87,NA,NA,87,experiment://TP2M4B2_R1/TP2M4B2_R1_LATENT_USE_MATCHED29.csv

