taxonomy,TP2D_phenotype,count
STRUCTURALLY UNSTABLE,DOWNSTREAM-COMPENSATED / CO-ADAPTED,18
STRUCTURALLY UNSTABLE,FUNCTIONALLY NEGLIGIBLE,8
STRUCTURALLY UNSTABLE,FUNCTIONALLY UNSTABLE,3
STRUCTURALLY UNSTABLE,MIXED / INDETERMINATE,1
SOFT-REPARAMETERISED,DOWNSTREAM-COMPENSATED / CO-ADAPTED,0
SOFT-REPARAMETERISED,FUNCTIONALLY NEGLIGIBLE,5
SOFT-REPARAMETERISED,FUNCTIONALLY UNSTABLE,0
SOFT-REPARAMETERISED,MIXED / INDETERMINATE,0
STABLE,DOWNSTREAM-COMPENSATED / CO-ADAPTED,0
STABLE,FUNCTIONALLY NEGLIGIBLE,1
STABLE,FUNCTIONALLY UNSTABLE,0
STABLE,MIXED / INDETERMINATE,0
PERMUTATION-DOMINATED,DOWNSTREAM-COMPENSATED / CO-ADAPTED,0
PERMUTATION-DOMINATED,FUNCTIONALLY NEGLIGIBLE,0
PERMUTATION-DOMINATED,FUNCTIONALLY UNSTABLE,0
PERMUTATION-DOMINATED,MIXED / INDETERMINATE,0
