series_id,stratum,series_dir,valid_seed_runs,median_MAE,median_RMSE,median_SMAPE,median_R2,MAE_complete,RMSE_complete,SMAPE_complete,R2_complete,forecast_metric_source,read_only_inference_required,mechanism_boundary
Australia,WHO,australia,3,24057.37880597796,80349.19874955647,78.49717390563666,0.553783497848974,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Austria,WHO,austria,3,886.9011361258371,1649.563353364569,21.525998794791885,0.5938447884943129,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Bangladesh,WHO,bangladesh,3,106.48891122000558,158.92508652225715,18.259945820029465,0.8830305759116546,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Bhutan,WHO,bhutan,3,4.353334652526038,15.324308044699556,134.05081897497126,0.0444124683194665,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Brunei Darussalam,WHO,brunei_darussalam,3,6.144406114305768,8.201767592837388,57.39007050132268,0.3540067436160778,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Cambodia,WHO,cambodia,3,4.606701748711722,5.870520766391941,45.26700950766025,0.2224299807236964,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
China,WHO,china,3,42.66866847446987,53.91478339870023,23.83173291099025,0.3449132198429617,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Fiji,WHO,fiji,3,130.31625376428877,215.9740552727429,90.95865699981918,0.2692371734554547,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
French Polynesia,WHO,french_polynesia,3,19.508042209914752,33.48923374415167,156.6491529949934,0.445718722979932,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Guam,WHO,guam,3,45.44271152360098,90.61277310857275,126.75315663212936,-1.8353637825296207,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Lao People's Democratic Republic,WHO,lao_people_s_democratic_republic,3,218.3777509416853,270.38084201559866,21.46057270595859,0.0938165346423476,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Malaysia,WHO,malaysia,3,233.9473528180804,335.2339049064377,6.812340986787356,0.5632605815571254,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Maldives,WHO,maldives,3,40.76623562404088,56.00267946595148,20.450503489922884,0.6097975331294305,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Mexico,WHO,mexico,3,3021.891972133092,5126.490499623725,22.566774356041265,0.8528812639896366,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Mongolia,WHO,mongolia,3,363.4688132149832,551.6871131845255,39.30116471844722,0.5019200829520108,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Myanmar,WHO,myanmar,3,54.15574019295829,67.79702785678877,29.27777222522424,0.080093073602649,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Nepal,WHO,nepal,3,86.76753180367606,143.33610930304437,23.22780398156628,0.6812497034785223,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
New Caledonia,WHO,new_caledonia,3,23.464302267347065,33.43431486578946,118.96887059300435,-0.1696148343890915,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
New Zealand,WHO,new_zealand,3,18.53724139077323,26.691011188063428,35.40477456508846,-0.2147781898285927,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Northern Mariana Islands,WHO,northern_mariana_islands,3,27.84023802621024,37.26789264320349,45.86911409353526,-0.3053860787254494,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Palau,WHO,palau,3,0.7141492960176298,1.6036766740896264,87.65834552700163,-0.0041208356648536,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,YES
Papua New Guinea,WHO,papua_new_guinea,3,18.90033691270011,24.59903845090084,119.95744818103331,-0.2652947575039568,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Philippines,WHO,philippines,3,2945.6603715079173,5608.730131729475,68.03794995808451,0.6654799447522481,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Singapore,WHO,singapore,3,95.71096311296736,136.23320546366006,21.31814279082013,0.6037499668747139,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Sri Lanka,WHO,sri_lanka,3,366.0759560721261,504.8465885873239,59.17383269353029,-0.3922987378750606,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Switzerland,WHO,switzerland,3,2118.956298828125,3137.7556335604386,13.149148884083068,0.8469495673187536,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Thailand,WHO,thailand,3,531.0776890345982,849.6653391981357,12.4006395326857,0.7937125319014926,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Timor-Leste,WHO,timor_leste,3,1.28184553448643,2.246314361616074,159.7014695050962,-0.0468398300034034,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
United Kingdom of Great Britain and Northern Ireland,WHO,united_kingdom_of_great_britain_and_northern_ireland,3,23621.751813616072,31141.69413633604,16.43091720670567,0.731977707624556,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
Vanuatu,WHO,vanuatu,3,0.0422840898723474,0.0739318816687879,121.42853447350616,NA,TRUE,TRUE,TRUE,FALSE,persisted TP2M5B per-seed metrics.csv,NO,NO
Viet Nam,WHO,viet_nam,3,4712.999232700893,6429.957593884384,28.103894694473503,-1.3706946150015784,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
T7,Electricity,t7,3,24.409676688058035,30.285356618745272,6.26962169275057,0.55768851309596,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
T314,Electricity,t314,3,207086.55357142855,270390.83886187524,4.775751546482893,0.7194848515779061,TRUE,TRUE,TRUE,TRUE,persisted TP2M5B per-seed metrics.csv,NO,NO
