series_id,stratum,series_dir,valid_seed_runs,median_MAE,median_RMSE,median_SMAPE,median_R2,MAE_complete,RMSE_complete,SMAPE_complete,R2_complete
Australia,WHO,australia,3,22461.40525163923,75468.31905576408,70.03964065201473,0.6063485272544045,TRUE,TRUE,TRUE,TRUE
Austria,WHO,austria,3,994.046870640346,1565.6889588244985,24.46220102771844,0.6340978102508716,TRUE,TRUE,TRUE,TRUE
Bangladesh,WHO,bangladesh,3,104.49790954589844,148.28322150843255,17.717829513150914,0.8981710035114789,TRUE,TRUE,TRUE,TRUE
Bhutan,WHO,bhutan,3,4.469258966190474,15.287727579294572,132.2622945062489,0.0489691654597853,TRUE,TRUE,TRUE,TRUE
Brunei Darussalam,WHO,brunei_darussalam,3,7.383665067808969,9.7282340509791,63.32739018723299,0.0911732778479506,TRUE,TRUE,TRUE,TRUE
Cambodia,WHO,cambodia,3,4.7821065698351175,6.336917562560523,46.6054858666198,0.0939704452447509,TRUE,TRUE,TRUE,TRUE
China,WHO,china,3,43.687551498413086,55.27708828763738,24.43893790152512,0.3113898451390933,TRUE,TRUE,TRUE,TRUE
Fiji,WHO,fiji,3,125.01831369740624,212.2795615982334,88.46001152708392,0.2940244748726749,TRUE,TRUE,TRUE,TRUE
French Polynesia,WHO,french_polynesia,3,21.816631972789764,37.68855867150279,171.63438584247763,0.2979971982598425,TRUE,TRUE,TRUE,TRUE
Guam,WHO,guam,3,36.90900504589081,69.36849461920336,121.909990980611,-0.6617071322066779,TRUE,TRUE,TRUE,TRUE
Lao People's Democratic Republic,WHO,lao_people_s_democratic_republic,3,226.4304460797991,277.6407031261646,22.1262144948648,0.0445002618409451,TRUE,TRUE,TRUE,TRUE
Malaysia,WHO,malaysia,3,310.5059901646205,364.3940488449993,9.398257903621593,0.4839769861602763,TRUE,TRUE,TRUE,TRUE
Maldives,WHO,maldives,3,38.16617638724191,50.08040127488012,20.250300321984582,0.6879616319660025,TRUE,TRUE,TRUE,TRUE
Mexico,WHO,mexico,3,3569.805363246373,6163.097306873499,25.249858563642945,0.7873694215851129,TRUE,TRUE,TRUE,TRUE
Mongolia,WHO,mongolia,3,438.0272707257952,709.1237050548317,47.751131459919975,0.1770804893584681,TRUE,TRUE,TRUE,TRUE
Myanmar,WHO,myanmar,3,50.15879494803293,64.19485303269877,27.16086670044483,0.1752487240852003,TRUE,TRUE,TRUE,TRUE
Nepal,WHO,nepal,3,81.04101725987026,119.48043762442022,24.22316734466749,0.7785207811979163,TRUE,TRUE,TRUE,TRUE
New Caledonia,WHO,new_caledonia,3,24.55939551762172,35.8125247450633,131.73879567415108,-0.341923908099736,TRUE,TRUE,TRUE,TRUE
New Zealand,WHO,new_zealand,3,19.21215942927769,26.05180477510527,34.00499370914237,-0.157290961787109,TRUE,TRUE,TRUE,TRUE
Northern Mariana Islands,WHO,northern_mariana_islands,3,33.30407067707607,42.6423092395742,63.95296312002786,-0.7090341306234991,TRUE,TRUE,TRUE,TRUE
Palau,WHO,palau,3,0.717516977339983,1.613455374186481,176.51302640429353,-0.0164037767336304,TRUE,TRUE,TRUE,TRUE
